,FREQ,REF_AREA,SEX,AGE,EDU_LEV_HIGHEST,TIME_PERIOD,OBS_VALUE
222,A,ITC,1,Y35-49,7,2023,15.399
223,A,ITC,1,Y35-49,7,2024,17.784
224,A,ITC,1,Y35-49,99,2023,42.602
225,A,ITC,1,Y35-49,99,2024,40.055
226,A,ITC,1,Y45-54,99,2023,28.621
227,A,ITC,1,Y45-54,99,2024,30.45
228,A,ITC,1,Y50-64,11,2023,2.211
229,A,ITC,1,Y50-64,11,2024,3.331
230,A,ITC,1,Y50-64,13,2023,24.422
231,A,ITC,1,Y50-64,13,2024,20.534
232,A,ITC,1,Y50-64,7,2023,14.929
233,A,ITC,1,Y50-64,7,2024,13.79
234,A,ITC,1,Y50-64,99,2023,41.563
235,A,ITC,1,Y50-64,99,2024,37.655
236,A,ITC,1,Y50-74,11,2023,2.375
237,A,ITC,1,Y50-74,11,2024,3.331
238,A,ITC,1,Y50-74,13,2023,25.196
239,A,ITC,1,Y50-74,13,2024,21.379
240,A,ITC,1,Y50-74,7,2023,15.176
241,A,ITC,1,Y50-74,7,2024,13.79
242,A,ITC,1,Y50-74,99,2023,42.747
243,A,ITC,1,Y50-74,99,2024,38.5
244,A,ITC,1,Y55-64,99,2023,27.173
245,A,ITC,1,Y55-64,99,2024,19.244
246,A,ITC,1,Y65-74,99,2023,1.184
247,A,ITC,1,Y65-74,99,2024,0.844
248,A,ITC,2,Y15-24,99,2023,31.573
249,A,ITC,2,Y15-24,99,2024,26.956
250,A,ITC,2,Y15-29,99,2023,51.35
251,A,ITC,2,Y15-29,99,2024,41.487
252,A,ITC,2,Y15-34,11,2023,13.072
253,A,ITC,2,Y15-34,11,2024,14.348
254,A,ITC,2,Y15-34,13,2023,13.618
255,A,ITC,2,Y15-34,13,2024,10.257
256,A,ITC,2,Y15-34,7,2023,41.156
257,A,ITC,2,Y15-34,7,2024,31.979
258,A,ITC,2,Y15-34,99,2023,67.846
259,A,ITC,2,Y15-34,99,2024,56.584
260,A,ITC,2,Y15-64,11,2023,25.791
261,A,ITC,2,Y15-64,11,2024,30.536
262,A,ITC,2,Y15-64,13,2023,67.117
263,A,ITC,2,Y15-64,13,2024,51.925
264,A,ITC,2,Y15-64,7,2023,88.434
265,A,ITC,2,Y15-64,7,2024,78.074
266,A,ITC,2,Y15-64,99,2023,181.342
267,A,ITC,2,Y15-64,99,2024,160.535
268,A,ITC,2,Y15-74,11,2023,25.836
269,A,ITC,2,Y15-74,11,2024,30.579
