REF_AREA,MARRIAGE_RITE,TIME_PERIOD,OBS_VALUE,NOTE_REF_AREA
ITC1,ALL,2021,100.0,FILTER__ITC1
ITC1,ALL,2022,100.0,FILTER__ITC1
ITC1,ALL,2023,100.0,FILTER__ITC1
ITC1,CIVIL,2014,54.2,FILTER__ITC1
ITC1,CIVIL,2015,57.6,FILTER__ITC1
ITC1,CIVIL,2016,59.8,FILTER__ITC1
ITC1,CIVIL,2017,62.7,FILTER__ITC1
ITC1,CIVIL,2018,63.7,FILTER__ITC1
ITC1,CIVIL,2019,66.0,FILTER__ITC1
ITC1,CIVIL,2020,80.7,FILTER__ITC1
ITC1,CIVIL,2021,68.2,FILTER__ITC1
ITC1,CIVIL,2022,69.8,FILTER__ITC1
ITC1,CIVIL,2023,72.8,FILTER__ITC1
ITC1,REL,2014,45.8,FILTER__ITC1
ITC1,REL,2015,42.4,FILTER__ITC1
ITC1,REL,2016,40.2,FILTER__ITC1
ITC1,REL,2017,37.3,FILTER__ITC1
ITC1,REL,2018,36.3,FILTER__ITC1
ITC1,REL,2019,34.0,FILTER__ITC1
ITC1,REL,2020,19.3,FILTER__ITC1
ITC1,REL,2021,31.8,FILTER__ITC1
ITC1,REL,2022,30.2,FILTER__ITC1
ITC1,REL,2023,27.2,FILTER__ITC1
ITC11,ALL,2014,100.0,FILTER__ITC1
ITC11,ALL,2015,100.0,FILTER__ITC1
ITC11,ALL,2016,100.0,FILTER__ITC1
ITC11,ALL,2017,100.0,FILTER__ITC1
ITC11,ALL,2018,100.0,FILTER__ITC1
ITC11,ALL,2019,100.0,FILTER__ITC1
ITC11,ALL,2020,100.0,FILTER__ITC1
ITC11,ALL,2021,100.0,FILTER__ITC1
ITC11,ALL,2022,100.0,FILTER__ITC1
ITC11,ALL,2023,100.0,FILTER__ITC1
ITC11,CIVIL,2014,55.7,FILTER__ITC1
ITC11,CIVIL,2015,59.5,FILTER__ITC1
ITC11,CIVIL,2016,61.5,FILTER__ITC1
ITC11,CIVIL,2017,64.4,FILTER__ITC1
